,SD,SGG,NAME_AD,CODE,CODE_AD,YEAR,Y_R
126,서울특별시,성북구,장위1동,1108076,1129076000,2020,3.464476
127,서울특별시,성북구,장위2동,1108077,1129077000,2020,2.798226
128,서울특별시,성북구,장위3동,1108078,1129078000,2020,3.7951744
129,서울특별시,성북구,석관동,1108085,1129081000,2020,2.8740346
130,서울특별시,강북구,삼양동,1109069,1130553400,2020,3.461902
131,서울특별시,강북구,미아동,1109070,1130553500,2020,2.696484
132,서울특별시,강북구,송중동,1109071,1130554500,2020,3.2470925
133,서울특별시,강북구,송천동,1109072,1130555500,2020,2.583148
134,서울특별시,강북구,삼각산동,1109073,1130557500,2020,6.4921703
135,서울특별시,강북구,번1동,1109060,1130559500,2020,2.365969
136,서울특별시,강북구,번2동,1109061,1130560300,2020,2.9442654
137,서울특별시,강북구,번3동,1109062,1130560800,2020,3.549715
138,서울특별시,강북구,수유1동,1109063,1130561500,2020,2.8774683
139,서울특별시,강북구,수유2동,1109064,1130562500,2020,2.9200373
140,서울특별시,강북구,수유3동,1109065,1130563500,2020,1.9229102
141,서울특별시,강북구,우이동,1109074,1130564500,2020,3.2709298
142,서울특별시,강북구,인수동,1109075,1130566000,2020,3.3610587
143,서울특별시,도봉구,창1동,1110059,1132051100,2020,4.2579136
144,서울특별시,도봉구,창2동,1110060,1132051200,2020,3.5191445
145,서울특별시,도봉구,창3동,1110061,1132051300,2020,3.6739342
146,서울특별시,도봉구,창4동,1110062,1132051400,2020,4.511822
147,서울특별시,도봉구,창5동,1110063,1132051500,2020,3.3723707
148,서울특별시,도봉구,도봉1동,1110064,1132052100,2020,2.5243766
149,서울특별시,도봉구,도봉2동,1110065,1132052200,2020,2.934821
150,서울특별시,도봉구,쌍문1동,1110051,1132066000,2020,3.1937127
151,서울특별시,도봉구,쌍문2동,1110052,1132067000,2020,3.180817
152,서울특별시,도봉구,쌍문3동,1110053,1132068000,2020,2.7135787
153,서울특별시,도봉구,쌍문4동,1110054,1132068100,2020,5.0624027
154,서울특별시,도봉구,방학1동,1110055,1132069000,2020,3.6530113
155,서울특별시,도봉구,방학2동,1110056,1132070000,2020,3.0987082
156,서울특별시,도봉구,방학3동,1110057,1132071000,2020,4.956525
157,서울특별시,노원구,월계1동,1111051,1135056000,2020,3.4980397
158,서울특별시,노원구,월계2동,1111052,1135057000,2020,3.555038
159,서울특별시,노원구,월계3동,1111053,1135058000,2020,3.563078
160,서울특별시,노원구,공릉1동,1111079,1135059500,2020,3.2493365
161,서울특별시,노원구,공릉2동,1111056,1135060000,2020,5.2972584
162,서울특별시,노원구,하계1동,1111058,1135061100,2020,4.6115174
163,서울특별시,노원구,하계2동,1111059,1135061200,2020,6.2607985
164,서울특별시,노원구,중계본동,1111060,1135061900,2020,8.784003
165,서울특별시,노원구,중계1동,1111061,1135062100,2020,10.707883
166,서울특별시,노원구,중계4동,1111064,1135062400,2020,4.9228315
167,서울특별시,노원구,중계2·3동,1111078,1135062500,2020,3.8564012
168,서울특별시,노원구,상계1동,1111065,1135063000,2020,3.927953
169,서울특별시,노원구,상계2동,1111066,1135064000,2020,3.730314
170,서울특별시,노원구,상계3·4동,1111076,1135066500,2020,3.3505318
171,서울특별시,노원구,상계5동,1111069,1135067000,2020,3.5313172
172,서울특별시,노원구,상계6·7동,1111077,1135069500,2020,4.4463277
173,서울특별시,노원구,상계8동,1111072,1135070000,2020,4.364406
174,서울특별시,노원구,상계9동,1111073,1135071000,2020,4.611942
175,서울특별시,노원구,상계10동,1111074,1135072000,2020,3.883558
176,서울특별시,은평구,녹번동,1112051,1138051000,2020,2.8581934
177,서울특별시,은평구,불광1동,1112052,1138052000,2020,3.0654116
