,SD,SGG,NAME_AD,CODE,CODE_AD,ALL,0_4,5_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94,95_99,100_,YEAR
35,서울특별시,용산구,청파동,1103071,1117055500,20105.0,393.0,428.0,532.0,877.0,1801.0,2175.0,1689.0,1441.0,1365.0,1719.0,1584.0,1581.0,1309.0,932.0,790.0,768.0,433.0,167.0,66.0,24.0,31.0,2018
36,서울특별시,용산구,원효로1동,1103072,1117056000,15421.0,738.0,641.0,428.0,484.0,854.0,1442.0,1737.0,1807.0,1300.0,1215.0,995.0,1068.0,894.0,582.0,430.0,389.0,225.0,105.0,52.0,17.0,18.0,2018
37,서울특별시,용산구,원효로2동,1103057,1117057000,14912.0,513.0,596.0,662.0,801.0,940.0,1011.0,992.0,1247.0,1131.0,1405.0,1166.0,1166.0,996.0,681.0,596.0,453.0,324.0,160.0,44.0,15.0,13.0,2018
38,서울특별시,용산구,효창동,1103058,1117058000,8944.0,355.0,320.0,324.0,457.0,611.0,715.0,756.0,826.0,644.0,771.0,669.0,677.0,534.0,337.0,315.0,283.0,203.0,88.0,34.0,13.0,12.0,2018
39,서울특별시,용산구,용문동,1103059,1117059000,12625.0,467.0,437.0,425.0,587.0,804.0,968.0,1006.0,1143.0,945.0,1086.0,990.0,980.0,834.0,634.0,495.0,418.0,231.0,105.0,43.0,15.0,12.0,2018
40,서울특별시,용산구,한강로동,1103073,1117062500,17667.0,494.0,442.0,363.0,520.0,1009.0,1683.0,1824.0,1624.0,1208.0,1370.0,1429.0,1506.0,1286.0,847.0,710.0,586.0,398.0,198.0,104.0,27.0,39.0,2018
41,서울특별시,용산구,이촌1동,1103063,1117063000,28302.0,1270.0,1662.0,1599.0,1473.0,1502.0,1451.0,1643.0,2270.0,2437.0,2850.0,2271.0,1974.0,1641.0,1050.0,939.0,936.0,712.0,394.0,138.0,56.0,34.0,2018
42,서울특별시,용산구,이촌2동,1103064,1117064000,8990.0,368.0,260.0,253.0,336.0,447.0,577.0,747.0,818.0,592.0,713.0,674.0,770.0,769.0,491.0,402.0,362.0,222.0,115.0,47.0,11.0,16.0,2018
43,서울특별시,용산구,이태원1동,1103065,1117065000,7042.0,160.0,133.0,142.0,184.0,390.0,670.0,582.0,583.0,433.0,530.0,508.0,651.0,582.0,430.0,352.0,282.0,226.0,128.0,43.0,13.0,20.0,2018
44,서울특별시,용산구,이태원2동,1103066,1117066000,9463.0,242.0,261.0,252.0,317.0,515.0,870.0,828.0,832.0,712.0,779.0,618.0,752.0,675.0,455.0,462.0,420.0,270.0,121.0,54.0,14.0,14.0,2018
45,서울특별시,용산구,한남동,1103074,1117068500,20514.0,581.0,565.0,500.0,675.0,974.0,1781.0,1914.0,2155.0,1547.0,1819.0,1496.0,1646.0,1444.0,1052.0,855.0,750.0,405.0,209.0,85.0,33.0,28.0,2018
46,서울특별시,용산구,서빙고동,1103069,1117069000,13502.0,365.0,567.0,640.0,921.0,948.0,865.0,665.0,932.0,1069.0,1487.0,1225.0,1009.0,795.0,493.0,427.0,437.0,400.0,179.0,59.0,12.0,7.0,2018
47,서울특별시,용산구,보광동,1103070,1117070000,14858.0,269.0,285.0,381.0,552.0,960.0,1375.0,1155.0,1178.0,966.0,1346.0,1277.0,1299.0,1164.0,785.0,666.0,585.0,339.0,166.0,55.0,35.0,20.0,2018
48,서울특별시,성동구,왕십리2동,1104052,1120052000,17748.0,711.0,589.0,634.0,765.0,1171.0,1480.0,1534.0,1631.0,1296.0,1543.0,1386.0,1448.0,1144.0,816.0,634.0,488.0,286.0,117.0,33.0,24.0,18.0,2018
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,27345.0,1374.0,1230.0,706.0,1000.0,1998.0,2461.0,2328.0,2649.0,2003.0,2170.0,2249.0,2186.0,1629.0,1055.0,848.0,725.0,432.0,186.0,73.0,16.0,27.0,2018
50,서울특별시,성동구,마장동,1104054,1120054000,23446.0,707.0,690.0,800.0,1034.0,1992.0,2443.0,1779.0,1734.0,1413.0,1880.0,1862.0,1974.0,1662.0,1141.0,879.0,749.0,432.0,181.0,59.0,21.0,14.0,2018
51,서울특별시,성동구,사근동,1104055,1120055000,11624.0,268.0,226.0,251.0,560.0,2041.0,2064.0,994.0,723.0,561.0,710.0,637.0,640.0,537.0,382.0,383.0,363.0,178.0,67.0,24.0,8.0,7.0,2018
52,서울특별시,성동구,행당1동,1104056,1120056000,16238.0,568.0,518.0,533.0,677.0,1194.0,1472.0,1330.0,1374.0,1207.0,1334.0,1328.0,1342.0,1091.0,711.0,608.0,490.0,261.0,136.0,36.0,19.0,9.0,2018
53,서울특별시,성동구,행당2동,1104057,1120057000,24986.0,1050.0,1106.0,1184.0,1253.0,1560.0,1530.0,1720.0,2266.0,2172.0,2410.0,1984.0,1855.0,1514.0,1071.0,902.0,714.0,431.0,156.0,75.0,13.0,20.0,2018
54,서울특별시,성동구,응봉동,1104058,1120058000,16340.0,580.0,778.0,969.0,889.0,928.0,870.0,1026.0,1395.0,1505.0,1704.0,1230.0,1138.0,968.0,686.0,620.0,537.0,321.0,136.0,40.0,14.0,6.0,2018
55,서울특별시,성동구,금호1가동,1104059,1120059000,16087.0,741.0,617.0,549.0,698.0,943.0,1038.0,1316.0,1662.0,1276.0,1386.0,1224.0,1227.0,1112.0,742.0,575.0,480.0,309.0,132.0,39.0,8.0,13.0,2018
56,서울특별시,성동구,금호2·3가동,1104072,1120061500,24271.0,1193.0,760.0,718.0,1016.0,1405.0,1670.0,2033.0,2533.0,1897.0,2076.0,1845.0,1845.0,1619.0,1144.0,949.0,803.0,434.0,206.0,80.0,21.0,24.0,2018
57,서울특별시,성동구,금호4가동,1104062,1120062000,15345.0,825.0,713.0,510.0,506.0,763.0,958.0,1303.0,1722.0,1365.0,1300.0,1107.0,1126.0,1026.0,656.0,578.0,443.0,284.0,99.0,41.0,11.0,9.0,2018
58,서울특별시,성동구,옥수동,1104073,1120064500,27245.0,1500.0,1319.0,866.0,913.0,1442.0,1834.0,2386.0,3167.0,2256.0,2176.0,1953.0,2044.0,1753.0,1186.0,913.0,719.0,467.0,216.0,79.0,30.0,26.0,2018
59,서울특별시,성동구,성수1가1동,1104065,1120065000,17242.0,618.0,538.0,568.0,807.0,1177.0,1507.0,1537.0,1502.0,1179.0,1570.0,1550.0,1529.0,1186.0,653.0,529.0,395.0,242.0,105.0,30.0,10.0,10.0,2018
60,서울특별시,성동구,성수1가2동,1104066,1120066000,15332.0,477.0,500.0,486.0,618.0,1007.0,1466.0,1463.0,1389.0,1173.0,1309.0,1163.0,1255.0,1058.0,641.0,506.0,436.0,222.0,105.0,36.0,9.0,13.0,2018
61,서울특별시,성동구,성수2가1동,1104067,1120067000,17580.0,507.0,449.0,475.0,698.0,1025.0,1489.0,1428.0,1352.0,1192.0,1471.0,1573.0,1845.0,1463.0,912.0,646.0,542.0,300.0,128.0,56.0,16.0,13.0,2018
