,SD,SGG,CODE,CODE_AD,FI,YEAR,INTEREST
151,전라북도,군산시,35020,4513000000,19.0,2020,0
152,전라북도,익산시,35030,4514000000,18.5,2020,2
153,전라북도,정읍시,35040,4518000000,16.6,2020,1
154,전라북도,남원시,35050,4519000000,11.3,2020,1
155,전라북도,김제시,35060,4521000000,12.9,2020,1
156,전라북도,완주군,35310,4571000000,22.8,2020,0
157,전라북도,진안군,35320,4572000000,13.0,2020,1
158,전라북도,무주군,35330,4573000000,19.9,2020,1
159,전라북도,장수군,35340,4574000000,16.2,2020,1
160,전라북도,임실군,35350,4575000000,14.3,2020,1
161,전라북도,순창군,35360,4577000000,13.3,2020,1
162,전라북도,고창군,35370,4579000000,12.8,2020,1
163,전라북도,부안군,35380,4580000000,17.4,2020,1
164,전라남도,목포시,36010,4611000000,20.2,2020,0
165,전라남도,여수시,36020,4613000000,37.8,2020,0
166,전라남도,순천시,36030,4615000000,25.0,2020,0
167,전라남도,나주시,36040,4617000000,18.7,2020,0
168,전라남도,광양시,36060,4623000000,33.3,2020,0
169,전라남도,담양군,36310,4671000000,13.4,2020,1
170,전라남도,곡성군,36320,4672000000,18.0,2020,1
171,전라남도,구례군,36330,4673000000,8.5,2020,1
172,전라남도,고흥군,36350,4677000000,11.8,2020,1
173,전라남도,보성군,36360,4678000000,9.4,2020,1
174,전라남도,화순군,36370,4679000000,21.6,2020,1
175,전라남도,장흥군,36380,4680000000,12.7,2020,1
176,전라남도,강진군,36390,4681000000,7.8,2020,1
177,전라남도,해남군,36400,4682000000,13.5,2020,1
178,전라남도,영암군,36410,4683000000,13.0,2020,1
179,전라남도,무안군,36420,4684000000,24.8,2020,0
180,전라남도,함평군,36430,4686000000,8.8,2020,1
181,전라남도,영광군,36440,4687000000,13.8,2020,1
182,전라남도,장성군,36450,4688000000,14.6,2020,1
183,전라남도,완도군,36460,4689000000,11.1,2020,1
184,전라남도,진도군,36470,4690000000,23.6,2020,1
185,전라남도,신안군,36480,4691000000,6.6,2020,1
186,경상북도,포항시,37010,4711000000,28.3,2020,0
187,경상북도,경주시,37020,4713000000,23.9,2020,2
188,경상북도,김천시,37030,4715000000,25.5,2020,2
189,경상북도,안동시,37040,4717000000,12.7,2020,1
190,경상북도,구미시,37050,4719000000,41.3,2020,0
191,경상북도,영주시,37060,4721000000,18.7,2020,1
192,경상북도,영천시,37070,4723000000,18.5,2020,1
193,경상북도,상주시,37080,4725000000,15.1,2020,1
194,경상북도,문경시,37090,4728000000,16.2,2020,1
195,경상북도,경산시,37100,4729000000,29.4,2020,0
196,경상북도,군위군,37310,4772000000,13.6,2020,1
197,경상북도,의성군,37320,4773000000,11.5,2020,1
198,경상북도,청송군,37330,4775000000,10.9,2020,1
199,경상북도,영양군,37340,4776000000,10.5,2020,1
200,경상북도,영덕군,37350,4777000000,11.2,2020,1
201,경상북도,청도군,37360,4782000000,18.4,2020,1
202,경상북도,고령군,37370,4783000000,18.6,2020,1
203,경상북도,성주군,37380,4784000000,18.6,2020,1
204,경상북도,칠곡군,37390,4785000000,26.2,2020,0
205,경상북도,예천군,37400,4790000000,13.6,2020,0
206,경상북도,봉화군,37410,4792000000,7.5,2020,1
207,경상북도,울진군,37420,4793000000,16.5,2020,1
208,경상북도,울릉군,37430,4794000000,11.3,2020,1
209,경상남도,창원시,38110,4812000000,37.1,2020,0
210,경상남도,진주시,38030,4817000000,30.5,2020,0
211,경상남도,통영시,38050,4822000000,16.7,2020,2
212,경상남도,사천시,38060,4824000000,23.0,2020,2
213,경상남도,김해시,38070,4825000000,35.1,2020,0
214,경상남도,밀양시,38080,4827000000,17.1,2020,1
215,경상남도,거제시,38090,4831000000,31.4,2020,0
216,경상남도,양산시,38100,4833000000,35.8,2020,0
217,경상남도,의령군,38310,4872000000,15.9,2020,1
218,경상남도,함안군,38320,4873000000,26.8,2020,1
219,경상남도,창녕군,38330,4874000000,19.7,2020,1
220,경상남도,고성군,38340,4882000000,16.6,2020,1
221,경상남도,남해군,38350,4884000000,18.1,2020,1
222,경상남도,하동군,38360,4885000000,12.8,2020,1
223,경상남도,산청군,38370,4886000000,15.2,2020,1
224,경상남도,함양군,38380,4887000000,20.0,2020,1
225,경상남도,거창군,38390,4888000000,19.4,2020,1
226,경상남도,합천군,38400,4889000000,9.6,2020,1
227,제주특별자치도,제주특별자치도,39,5000000000,40.1,2020,0
