,SGG_cd,SD,SGG,ALL,N_AGING,A_R,N_YOUNG,Y_R
129,3335,충청북도,진천군,73677.0,11889.0,16.14,10516.0,14.27
130,3336,충청북도,괴산군,39054.0,11898.0,30.47,2564.0,6.57
131,3337,충청북도,음성군,97306.0,17685.0,18.17,11778.0,12.1
132,3338,충청북도,단양군,30215.0,8167.0,27.03,2487.0,8.23
133,3339,충청북도,증평군,37783.0,5626.0,14.89,5702.0,15.09
134,3401,충청남도,천안시동남구,631531.0,60562.0,9.59,98726.0,15.63
135,3402,충청남도,공주시,108432.0,25008.0,23.06,10824.0,9.98
136,3403,충청남도,보령시,100211.0,22774.0,22.73,11264.0,11.24
137,3404,충청남도,아산시,311453.0,36969.0,11.87,55127.0,17.7
138,3405,충청남도,서산시,171678.0,29012.0,16.9,25181.0,14.67
139,3406,충청남도,논산시,122240.0,28630.0,23.42,13520.0,11.06
140,3407,충청남도,계룡시,43967.0,4175.0,9.5,7953.0,18.09
141,3408,충청남도,당진시,167439.0,28386.0,16.95,25500.0,15.23
142,3431,충청남도,금산군,53894.0,14982.0,27.8,5328.0,9.89
143,3433,충청남도,부여군,69086.0,21209.0,30.7,5902.0,8.54
144,3434,충청남도,서천군,55175.0,17931.0,32.5,4573.0,8.29
145,3435,충청남도,청양군,32837.0,10458.0,31.85,2509.0,7.64
146,3436,충청남도,홍성군,101570.0,21895.0,21.56,13499.0,13.29
147,3437,충청남도,예산군,80338.0,22601.0,28.13,6982.0,8.69
148,3438,충청남도,태안군,63932.0,17506.0,27.38,5984.0,9.36
149,3501,전라북도,전주시완산구,648964.0,85157.0,13.12,92776.0,14.3
150,3502,전라북도,군산시,274997.0,44580.0,16.21,38547.0,14.02
151,3503,전라북도,익산시,300187.0,50357.0,16.78,38377.0,12.78
152,3504,전라북도,정읍시,113776.0,28587.0,25.13,12564.0,11.04
153,3505,전라북도,남원시,83281.0,21167.0,25.42,9475.0,11.38
154,3506,전라북도,김제시,86926.0,25155.0,28.94,8575.0,9.86
155,3531,전라북도,완주군,95975.0,19377.0,20.19,13478.0,14.04
156,3532,전라북도,진안군,26271.0,8309.0,31.63,2405.0,9.15
157,3533,전라북도,무주군,24809.0,7701.0,31.04,2399.0,9.67
158,3534,전라북도,장수군,23003.0,7111.0,30.91,2309.0,10.04
159,3535,전라북도,임실군,30162.0,9669.0,32.06,2776.0,9.2
160,3536,전라북도,순창군,29698.0,9286.0,31.27,3080.0,10.37
161,3537,전라북도,고창군,60472.0,18147.0,30.01,5454.0,9.02
162,3538,전라북도,부안군,56086.0,16679.0,29.74,4978.0,8.88
163,3601,전라남도,목포시,234379.0,33834.0,14.44,34776.0,14.84
164,3602,전라남도,여수시,274620.0,45314.0,16.5,35921.0,13.08
165,3603,전라남도,순천시,235849.0,37765.0,16.01,29702.0,12.59
166,3604,전라남도,나주시,110110.0,24178.0,21.96,14420.0,13.1
167,3606,전라남도,광양시,155857.0,17712.0,11.36,23336.0,14.97
168,3631,전라남도,담양군,47285.0,13623.0,28.81,4058.0,8.58
169,3632,전라남도,곡성군,30131.0,10035.0,33.3,2409.0,8.0
170,3633,전라남도,구례군,27525.0,8447.0,30.69,2480.0,9.01
171,3635,전라남도,고흥군,65828.0,24943.0,37.89,4822.0,7.33
172,3636,전라남도,보성군,42377.0,14991.0,35.38,3600.0,8.5
173,3637,전라남도,화순군,64223.0,15625.0,24.33,6957.0,10.83
174,3638,전라남도,장흥군,40136.0,12682.0,31.6,3643.0,9.08
